coreid,latitude,longitude,waterdepth,corelength,sitename,catchmentarea,lakeextent,lakedepth,vegetationzone,climatezone,laketype
PG1341,69.555,90.26833,66,18.85, Lama,6210,446,254, Forest Tundra, Dfc, Tectonic lake
PG1351,67.5066599999999,172.13833,175,12.91, El'gygytgyn,293,110,175, Shrub Tundra, ET, Meteorite lake
PG1437,68.250611,65.7893329999999,21,11.8, Lyadhej-To,19.8159999999999,1.87,26, Tundra, Dfc, Glacial lake
PG1746,62.0519019999999,129.480061,0.7,3.8, Temje,0,0.32,0.75, Coniferous Forest, Dfd, Thermokarst lake
PG1755,65.272,126.74633,7.8,9.35, Billyakh,133.3,23,25, Deciduous Forest, Dfd, Glacial lake
PG1756,65.2955,126.77516,7.9,4.57, Billyakh,133.3,23,25, Deciduous Forest, Dfd, Glacial lake
PG1856,56.82267,160.040269999999,20.5,4.33, Two-Yurts,168.12,12,26, Deciduous Forest, Dfc, Glacial lake
PG1857,56.8167499999999,160.06778,25,3.32, Two-Yurts,168.12,12,26, Deciduous Forest, Dfc, Glacial lake
PG1858,56.82666667,160.115,2.5,1, Sigrid,0,0.0259999999999999,5, Deciduous Forest, Dfc, Glacial lake
PG1890,53.25314,157.754185,4.5,0.95, Sokoch,3.75,0.75,7, Deciduous Forest, ET, Glacial lake
PG1972,73.1967099999999,124.6208,4.7,1.08, 09-Tik-03 / Lake Bezrybnoe,2.633,0.75,5.3, Tundra, Dfd, Thermokarst lake
PG1975,71.2943499999999,125.550479999999,4.8,1.37, 09-Tik-05 / Elgene-Kyuele,3.02599999999999,1.209,10.5, Forest Tundra, Dfd, Thermokarst lake
PG1982,70.69737,125.07643,4.7,1.28, 09-Tik-09,2.367,0.383,6.3, Forest Tundra, Dfd, Thermokarst lake
PG1984,69.4048499999999,123.82792,2.4,1.2, 09-Tik-13 / Sysy-Kyuele,2.90899999999999,1,2.5, Coniferous Forest, Dfd, Thermokarst lake
PG2023,69.6283669999999,123.649783,2.9,7.1, Ozero Kyutyunda,35.9339999999999,4.9,3.5, Coniferous Forest, Dfd, Thermokarst lake
PG2130,56.0593999999999,130.948399999999,4.5,1.78, Banya Toko,2.98499999999999,0.576999999999999,4.5, Deciduous Forest, Dwc, Glacial lake
PG2133,56.0508,130.8795,26,3.75, Bolshoe Toko,933.519,83.2429999999999,72.5, Deciduous Forest, Dwc, Glacial lake
PG2135,61.9744829999999,129.38083,1.7,6.51, Ulakhan Chabyda,7.963,2.1,2, Coniferous Forest, Dfd, Thermokarst lake
PG2201,61.958483,129.408333,2,6.8, Malaya Chabyda,16.1069999999999,0.18,3, Coniferous Forest, Dfd, Thermokarst lake
PG2208,56.05615,130.867799999999,68.3,3.67, Bolshoe Toko,933.519,83.2429999999999,72.5, Deciduous Forest, Dwc, Glacial lake
PG2360,64.4879499999999,122.72229,1.5,2.31, Bety,48.6869999999999,0.66,1.5, Coniferous Forest, Dfd, Thermokarst lake
PG2367,64.5525549999999,122.729301,16,1.26, Liunkju,0,0.0709999999999999,16, Coniferous Forest, Dfd, Thermokarst lake
Tel2006,51.716667,87.65,90,1.94, Teletskoye,20400,230,330, Deciduous Forest, Dfb, Tectonic lake
Teriberka17,69.176972,35.0815559999999,2.5,3.84, nameless, , , , , , 
TKT-3,45.85575,149.799383,11.25,7.2, Tokotan,38.1,0.561,13, Deciduous Forest, Dfc, Shoreline lake
TL-1-1,70.3714999999999,87.5557,8.15,2.2, Middendorf,0.495,0.0259999999999999,11.5, Shrub Tundra, Dfc, Glacial lake
UKhau2015,63.55373,33.3376999999999,2.5,3.5, Khaugilampi, , , , Coniferous Forest, Dfc, Glacial lake
ZAV,61.01127,29.65819,3.8,4.5, Bolshoye Zavetnoye,5.6,1.2,8, Coniferous Forest, Dfc, Glacial lake
